ident;type;name;continent;iso_country;iso_region;municipality
LFEY;medium_airport;Île d'Yeu Airport;EU;FR;FR-PDL;Île d'Yeu
LFEZ;small_airport;Nancy Malzeville Glider Field;EU;FR;FR-GES;
LFFB;small_airport;Buno Bonnevaux Airfield;EU;FR;FR-IDF;
LFFC;small_airport;Mantes Chérence Airfield;EU;FR;FR-IDF;
LFFD;small_airport;St André De L'eure Airfield;EU;FR;FR-NOR;
LFFE;small_airport;Enghien Moisselles Airfield;EU;FR;FR-IDF;
LFFG;small_airport;La Ferté Gaucher Airfield;EU;FR;FR-IDF;
LFFH;small_airport;Château-Thierry - Belleau Airfield;EU;FR;FR-HDF;
LFFI;small_airport;Ancenis Airport;EU;FR;FR-PDL;Ancenis
LFFJ;small_airport;Joinville Mussey Airfield;EU;FR;FR-GES;
LFFK;small_airport;Fontenay Le Comte Airfield;EU;FR;FR-PDL;
LFFL;small_airport;Bailleau Armenonville Airfield;EU;FR;FR-CVL;
LFFM;closed;Lamotte Beuvron Airfield;EU;FR;FR-CVL;
LFFN;small_airport;Brienne-le-Château Airport;EU;FR;FR-GES;Brienne-le-Château
LFFO;small_airport;Beauvoir Fromentine Airport;EU;FR;FR-PDL;Fromentine
LFFP;small_airport;Pithiviers Airfield;EU;FR;FR-CVL;
LFFQ;small_airport;La Ferté Alais Airfield;EU;FR;FR-IDF;
LFFR;small_airport;Bar Sur Seine Airfield;EU;FR;FR-GES;
LFFT;small_airport;Neufchâteau Airfield;EU;FR;FR-GES;
LFFU;small_airport;Châteauneuf Sur Cher Airfield;EU;FR;FR-CVL;
LFFV;small_airport;Vierzon Méreau Airfield;EU;FR;FR-CVL;
LFFW;small_airport;Montaigu St Georges Airfield;EU;FR;FR-PDL;
LFFX;small_airport;Tournus Cuisery Airfield;EU;FR;FR-BFC;
LFFY;small_airport;Étrépagny Airfield;EU;FR;FR-NOR;
LFFZ;small_airport;Sézanne St Rémy Airfield;EU;FR;FR-GES;Sézanne
LFGA;medium_airport;Colmar-Houssen Airport;EU;FR;FR-GES;Colmar/Houssen
LFGB;small_airport;Mulhouse-Habsheim Airport;EU;FR;FR-GES;Mulhouse/Habsheim
LFGC;small_airport;Strasbourg Neuhof Airfield;EU;FR;FR-GES;
LFGD;closed;Arbois Airfield;EU;FR;FR-BFC;
LFGE;small_airport;Avallon Airport;EU;FR;FR-BFC;Colmar
LFGF;small_airport;Beaune-Challanges Airport;EU;FR;FR-BFC;Beaune/Challanges
LFGG;small_airport;Belfort Chaux Airport;EU;FR;FR-BFC;Colmar
LFGH;small_airport;Cosne Sur Loire Airport;EU;FR;FR-BFC;Colmar
LFGI;small_airport;Dijon Darois Airfield;EU;FR;FR-BFC;Colmar
LFGJ;medium_airport;Dole-Tavaux Airport;EU;FR;FR-BFC;Dole/Tavaux
LFGK;small_airport;Joigny Airport;EU;FR;FR-BFC;Joigny
LFGL;small_airport;Lons Le Saulnier Courlaoux Airfield;EU;FR;FR-BFC;
LFGM;small_airport;Montceau Les Mines Airfield;EU;FR;FR-BFC;
LFGN;small_airport;Paray Le Monial Airfield;EU;FR;FR-BFC;
LFGO;small_airport;Pont Sur Yonne Airfield;EU;FR;FR-BFC;
LFGP;small_airport;St Florentin Cheu Airfield;EU;FR;FR-BFC;
LFGQ;small_airport;Semur En Auxois Airfield;EU;FR;FR-BFC;Semur En Auxois
LFGR;small_airport;Doncourt Les Conflans Airfield;EU;FR;FR-GES;
LFGS;small_airport;Longuyon Villette Airfield;EU;FR;FR-GES;
LFGT;small_airport;Sarrebourg Buhl Airfield;EU;FR;FR-GES;
LFGU;small_airport;Sarreguemines Neunkirch Airfield;EU;FR;FR-GES;
LFGV;closed;Thionville Yutz Airport;EU;FR;FR-GES;
LFGW;medium_airport;Verdun-Le Rozelier Airfield;EU;FR;FR-GES;Verdun
LFGX;small_airport;Aérodrome de Champagnole - Crotenay;EU;FR;FR-BFC;
LFGY;small_airport;Aérodrome de Saint-Dié - Remomeix;EU;FR;FR-GES;Saint Dié
LFGZ;small_airport;Aérodrome de Nuits-Saint-Georges;EU;FR;FR-BFC;
LFHA;small_airport;Aérodrome d'Issoire-Le Broc;EU;FR;FR-ARA;Issoire
LFHC;small_airport;Aérodrome de Pérouges - Meximieux;EU;FR;FR-ARA;
LFHD;small_airport;Aérodrome de Pierrelatte;EU;FR;FR-ARA;
LFHE;small_airport;Aérodrome de Romans - Saint-Paul;EU;FR;FR-ARA;
LFHF;small_airport;Ruoms Airport;EU;FR;FR-ARA;Ruoms
LFHG;small_airport;St Chamond L'horme Airport;EU;FR;FR-ARA;Verdun
LFHH;small_airport;Vienne Reventin Airport;EU;FR;FR-ARA;
LFHI;small_airport;Morestel Airport;EU;FR;FR-ARA;
LFHJ;small_airport;Aérodrome de Lyon - Corbas;EU;FR;FR-ARA;Lyon
LFHL;small_airport;Aérodrome de Langogne - Lespéron;EU;FR;FR-ARA;
LFHM;small_airport;Megève Altiport;EU;FR;FR-ARA;Megève
LFHN;small_airport;Aérodrome de Bellegarde - Vouvray;EU;FR;FR-ARA;
LFHO;medium_airport;Aubenas-Ardèche Méridional Airport;EU;FR;FR-ARA;Aubenas/Ardèche Méridional
LFHP;medium_airport;Le Puy-Loudes Airport;EU;FR;FR-ARA;Le Puy/Loudes
LFHQ;small_airport;Saint-Flour-Coltines Airport;EU;FR;FR-ARA;Saint-Flour/Coltines
LFHR;small_airport;Brioude Beaumont Airport;EU;FR;FR-ARA;Brioude
LFHS;small_airport;Bourg-Ceyzériat Airport;EU;FR;FR-ARA;Bourg/Ceyzériat
LFHT;small_airport;Ambert Le Poyet Airport;EU;FR;FR-ARA;Bourg
LFHU;small_airport;Altiport L'Alpe d'Huez - Henri GIRAUD;EU;FR;FR-ARA;L'Alpe d'Huez
LFHV;small_airport;Villefranche-Tarare Airport;EU;FR;FR-ARA;Villefranche/Tarare
LFHW;small_airport;Belleville Villié Morgon Airport;EU;FR;FR-ARA;Villefranche
LFHX;small_airport;Lapalisse - Périgny Airport;EU;FR;FR-ARA;Villefranche
LFHY;small_airport;Aérodrome de Moulins - Montbeugny;EU;FR;FR-ARA;Moulins/Montbeugny
LFHZ;closed;Ancien aérodrome de Sallanches Mont-Blanc;EU;FR;FR-ARA;
LFIB;small_airport;Aérodrome de Belvès Saint-Pardoux;EU;FR;FR-NAQ;
LFID;small_airport;Aérodrome de Condom - Valence-sur-Baïse;EU;FR;FR-OCC;
LFIF;small_airport;Saint-Affrique-Belmont Airport;EU;FR;FR-OCC;Saint-Affrique/Belmont
LFIG;small_airport;Cassagnes-Bégonhès Airport;EU;FR;FR-OCC;Cassagnes-Bégonhès
LFIH;small_airport;Chalais Airport;EU;FR;FR-NAQ;Moulins
LFIK;small_airport;Aérodrome de Ribérac-Tourette;EU;FR;FR-NAQ;Ribérac
LFIL;small_airport;Rion Des Landes Airport;EU;FR;FR-NAQ;Moulins
LFIM;small_airport;St Gaudens Montrejeau Airport;EU;FR;FR-OCC;Moulins
LFIO;closed;Montaudran Airport;EU;FR;FR-OCC;Montaudran
LFIP;small_airport;Altiport de Peyresourde Balestas;EU;FR;FR-OCC;
LFIR;small_airport;Revel Montgey Airport;EU;FR;FR-OCC;Moulins
LFIS;small_airport;Saint Inglevert;EU;FR;FR-HDF;
LFIT;small_airport;Aérodrome de Toulouse Bourg-Saint-Bernard;EU;FR;FR-OCC;
LFIV;small_airport;Aérodrome de Vendays-Montalivet;EU;FR;FR-NAQ;
LFIX;small_airport;Itxassou Airport;EU;FR;FR-NAQ;Moulins
LFIY;small_airport;St Jean D'angély Airport;EU;FR;FR-NAQ;Moulins
LFJA;small_airport;Aérodrome de Chaumont-Semoutiers;EU;FR;FR-GES;Chaumont/Semoutiers
LFJB;small_airport;Mauléon Airport;EU;FR;FR-NAQ;Mauléon
LFJC;small_airport;Aérodrome de Clamecy;EU;FR;FR-BFC;
LFJD;small_airport;Corlier Altiport;EU;FR;FR-ARA;
LFJE;small_airport;Altiport de La Motte Chalancon;EU;FR;FR-ARA;
LFJF;small_airport;Aérodrome d'Aubenasson;EU;FR;FR-ARA;
LFJH;small_airport;Aérodrome de Cazères - Palaminy;EU;FR;FR-OCC;
LFJI;small_airport;Aérodrome de Marennes - Le Bournet;EU;FR;FR-NAQ;
LFJL;medium_airport;Metz-Nancy-Lorraine Airport;EU;FR;FR-GES;Metz / Nancy
LFJM;closed;Chailley Airport;EU;FR;FR-BFC;Metz-Nancy/Lorraine
LFJR;medium_airport;Angers-Loire Airport;EU;FR;FR-PDL;Angers/Marcé
LFJS;small_airport;Aérodrome de Soissons - Courmelles;EU;FR;FR-HDF;Angers
LFJT;small_airport;Tours Le Louroux Airport;EU;FR;FR-CVL;Angers
LFJU;small_airport;Aérodrome de Lurcy-Levis;EU;FR;FR-ARA;Lurcy-Lévis
LFJV;small_airport;Aérodrome de Lasclaveries;EU;FR;FR-NAQ;Lasclaveries
LFJY;small_airport;Chambley-Bussières Air Base;EU;FR;FR-GES;Chambley
LFKA;small_airport;Albertville Airfield;EU;FR;FR-ARA;Albertville
LFKB;medium_airport;Bastia-Poretta Airport;EU;FR;FR-COR;Bastia/Poretta
LFKC;medium_airport;Calvi-Sainte-Catherine Airport;EU;FR;FR-COR;Calvi/Sainte-Catherine
LFKD;small_airport;Sollières Sardières Airfield;EU;FR;FR-ARA;
LFKE;small_airport;Saint-Jean-en-Royans Airport;EU;FR;FR-ARA;
LFKF;medium_airport;Figari Sud-Corse Airport;EU;FR;FR-COR;Figari Sud-Corse
LFKG;small_airport;Aérodrome de Ghisonaccia - Alzitone;EU;FR;FR-COR;Figari/Sud Corse
LFKH;small_airport;St Jean D'avelanne Airfield;EU;FR;FR-ARA;Figari/Sud Corse
LFKJ;medium_airport;Ajaccio-Napoléon Bonaparte Airport;EU;FR;FR-COR;Ajaccio/Napoléon Bonaparte
LFKL;small_airport;Lyon Brindas Airfield;EU;FR;FR-ARA;Brindas
LFKM;small_airport;St Galmier Airfield;EU;FR;FR-ARA;
LFKO;small_airport;Propriano Airport;EU;FR;FR-COR;Propriano
LFKP;small_airport;La Tour Du Pin Airfield;EU;FR;FR-ARA;
LFKS;medium_airport;Solenzara (BA 126) Air Base;EU;FR;FR-COR;Solenzara
LFKT;small_airport;Aérodrome de Corte;EU;FR;FR-COR;Corte
LFKX;small_airport;Méribel Altiport;EU;FR;FR-ARA;
LFKY;small_airport;Belley - Peyrieu Airfield;EU;FR;FR-ARA;
LFKZ;small_airport;Aérodrome de St Claude Pratz;EU;FR;FR-BFC;
LFLA;medium_airport;Auxerre-Branches Airport;EU;FR;FR-BFC;Auxerre/Branches
LFLB;medium_airport;Chambéry-Savoie Airport;EU;FR;FR-ARA;Chambéry/Aix-les-Bains
LFLC;medium_airport;Clermont-Ferrand Auvergne Airport;EU;FR;FR-ARA;Clermont-Ferrand/Auvergne
LFLD;medium_airport;Bourges Airport;EU;FR;FR-CVL;Bourges
LFLE;small_airport;Aérodrome de Chambéry Challes-les-Eaux;EU;FR;FR-ARA;Chambéry/Challes-les-Eaux
LFLG;small_airport;Aérodrome de Grenoble Le Versoud;EU;FR;FR-ARA;Grenoble
LFLH;medium_airport;Chalon-Champforgeuil Airport;EU;FR;FR-BFC;Chalon/Champforgueil
LFLI;medium_airport;Annemasse Airport;EU;FR;FR-ARA;Annemasse
LFLJ;small_airport;Courchevel Airport;EU;FR;FR-ARA;Courchevel
LFLK;small_airport;Aérodrome d'Oyonnax-Arbent;EU;FR;FR-ARA;
LFLL;large_airport;Lyon Saint-Exupéry Airport;EU;FR;FR-ARA;Lyon
LFLM;medium_airport;Aérodrome de Mâcon-Charnay;EU;FR;FR-BFC;Mâcon/Charnay
LFLN;medium_airport;Saint-Yan Airport;EU;FR;FR-BFC;Saint-Yan
LFLO;medium_airport;Roanne-Renaison Airport;EU;FR;FR-ARA;Roanne/Renaison
LFLP;medium_airport;Annecy-Haute-Savoie-Mont Blanc Airport;EU;FR;FR-ARA;Annecy/Meythet
LFLQ;small_airport;Aérodrome de Montélimar - Ancône;EU;FR;FR-ARA;
LFLR;small_airport;Aérodrome de Saint-Rambert-d'Albon;EU;FR;FR-ARA;
LFLS;medium_airport;Grenoble-Isère Airport;EU;FR;FR-U-A;Saint-Étienne-de-Saint-Geoirs
LFLT;small_airport;Montluçon-Domérat Airfield;EU;FR;FR-ARA;Montluçon/Domérat
LFLU;medium_airport;Valence-Chabeuil Airport;EU;FR;FR-ARA;Valence/Chabeuil
LFLV;medium_airport;Vichy-Charmeil Airport;EU;FR;FR-ARA;Vichy/Charmeil
LFLW;medium_airport;Aurillac Airport;EU;FR;FR-ARA;Aurillac
LFLX;medium_airport;Châteauroux-Déols Marcel Dassault Airport;EU;FR;FR-CVL;Châteauroux/Déols
LFLY;medium_airport;Lyon-Bron Airport;EU;FR;FR-ARA;Lyon/Bron
LFLZ;small_airport;Aérodrome de Feurs - Chambéon;EU;FR;FR-ARA;
LFMA;small_airport;Aix - Les Milles Airport;EU;FR;FR-PAC;Aix-en-Provence
LFMC;medium_airport;Le Luc-Le Cannet Airport;EU;FR;FR-PAC;Le Cannet-des-Maures
LFMD;medium_airport;Cannes-Mandelieu Airport;EU;FR;FR-PAC;Cannes
LFME;small_airport;Nîmes Courbessac Airport;EU;FR;FR-OCC;Nîmes
LFMF;small_airport;Fayence Glider Field;EU;FR;FR-PAC;Fayence
LFMG;small_airport;Aérodrome de la Montagne Noire;EU;FR;FR-OCC;Revel
LFMH;medium_airport;Saint-Étienne-Bouthéon Airport;EU;FR;FR-ARA;Saint-Étienne/Bouthéon
LFMI;medium_airport;Istres Le Tubé Air Base;EU;FR;FR-PAC;Istres/Le Tubé
LFMK;medium_airport;Carcassonne Airport;EU;FR;FR-OCC;Carcassonne/Salvaza
LFML;large_airport;Marseille Provence Airport;EU;FR;FR-PAC;Marseille
LFMN;large_airport;Nice-Côte d'Azur Airport;EU;FR;FR-PAC;Nice
LFMO;medium_airport;Orange-Caritat (BA 115) Air Base;EU;FR;FR-PAC;Orange/Caritat
LFMP;medium_airport;Perpignan-Rivesaltes (Llabanère) Airport;EU;FR;FR-OCC;Perpignan/Rivesaltes
LFMQ;medium_airport;Le Castellet Airport;EU;FR;FR-PAC;Le Castellet
LFMR;small_airport;Barcelonnette - Saint-Pons Airport;EU;FR;FR-PAC;Le Castellet
LFMS;medium_airport;Aérodrome d'Alès Cévennes;EU;FR;FR-OCC;Alès/Deaux
LFMT;medium_airport;Montpellier-Méditerranée Airport;EU;FR;FR-OCC;Montpellier/Méditerranée
LFMU;medium_airport;Béziers-Vias Airport;EU;FR;FR-OCC;Béziers/Vias
LFMV;medium_airport;Avignon-Caumont Airport;EU;FR;FR-PAC;Avignon/Caumont
LFMW;small_airport;Aérodrome de Castelnaudary-Villeneuve;EU;FR;FR-OCC;Castelnaudary Villeneuve
LFMX;small_airport;Aérodrome de Château-Arnoux - Saint-Auban;EU;FR;FR-PAC;Avignon
LFMY;medium_airport;Salon-de-Provence (BA 701) Air Base;EU;FR;FR-PAC;Salon
LFMZ;small_airport;Lézignan-Corbières Airfield;EU;FR;FR-OCC;Lézignan-Corbières
LFNA;small_airport;Gap - Tallard Airfield;EU;FR;FR-PAC;
LFNB;medium_airport;Mende-Brenoux Airfield;EU;FR;FR-OCC;Mende/Brénoux
LFNC;small_airport;Mont-Dauphin - St-Crépin Airport;EU;FR;FR-PAC;Mende
LFND;closed;Pont St Esprit Airfield;EU;FR;FR-OCC;
LFNE;small_airport;Aérodrome d'Eyguières;EU;FR;FR-PAC;
LFNF;small_airport;Aérodrome de Vinon;EU;FR;FR-PAC;Vinon-sur-Verdon
LFNG;small_airport;Aérodrome de Montpellier - Candillargues;EU;FR;FR-OCC;
LFNH;small_airport;Aérodrome  de Carpentras;EU;FR;FR-PAC;Carpentras
LFNJ;small_airport;Aérodrome d'Aspres-sur-Buëch;EU;FR;FR-PAC;Aspres sur Buëch
LFNL;small_airport;Aérodrome de Saint-Martin-de-Londres;EU;FR;FR-OCC;
LFNO;small_airport;Florac Ste Enimie Airfield;EU;FR;FR-OCC;
LFNP;closed;Pézenas Nizas Airfield;EU;FR;FR-OCC;
LFNQ;small_airport;Mont Louis La Quillane Airfield;EU;FR;FR-OCC;
LFNR;small_airport;Berre-la-Fare Airfield;EU;FR;FR-PAC;Berre-l'Étang
LFNS;small_airport;Aérodrome de Sistéron-Vaumeilh;EU;FR;FR-PAC;Mende
LFNT;small_airport;Aérodrome d'Avignon-Pujaut;EU;FR;FR-OCC;Pujaut
LFNU;small_airport;Uzès Airfield;EU;FR;FR-OCC;
LFNV;small_airport;Valréas Visan Airfield;EU;FR;FR-PAC;
LFNW;small_airport;Puivert Airfield;EU;FR;FR-OCC;
LFNX;small_airport;Bédarieux La Tour Airfield;EU;FR;FR-OCC;
LFNY;small_airport;Altisurface de Saint-Étienne-en-Dévoluy;EU;FR;FR-PAC;Dévoluy
LFNZ;small_airport;Le Mazet De Romanin Airfield;EU;FR;FR-PAC;
LFOA;large_airport;Avord (BA 702) Air Base;EU;FR;FR-CVL;Avord
LFOB;medium_airport;Paris Beauvais Tillé Airport;EU;FR;FR-HDF;Paris
LFOC;medium_airport;Châteaudun (BA 279) Air Base;EU;FR;FR-CVL;Châteaudun
LFOD;small_airport;Aérodrome de Saumur - Saint-Florent;EU;FR;FR-PDL;Saumur/Saint-Florent
LFOE;medium_airport;Évreux-Fauville (BA 105) Air Base;EU;FR;FR-NOR;Évreux/Fauville
LFOF;small_airport;Aérodrome d'Alençon - Valframbert;EU;FR;FR-NOR;
LFOG;small_airport;Aérodrome de Flers Saint-Paul;EU;FR;FR-NOR;
LFOH;medium_airport;Le Havre Octeville Airport;EU;FR;FR-NOR;Le Havre/Octeville
LFOI;medium_airport;Abbeville;EU;FR;FR-HDF;Abbeville
LFOJ;medium_airport;Orléans-Bricy (BA 123) Air Base;EU;FR;FR-CVL;Orléans/Bricy
LFOK;medium_airport;Châlons-Vatry Airport;EU;FR;FR-GES;Vatry
LFOL;small_airport;Aérodrome de L'Aigle-Saint-Michel;EU;FR;FR-NOR;Chalons
LFOM;small_airport;Aérodrome de Lessay;EU;FR;FR-NOR;Chalons
LFON;small_airport;Aérodrome de Dreux - Vernouillet;EU;FR;FR-CVL;Dreux
LFOO;small_airport;Les Sables-d'Olonne Talmont Airport;EU;FR;FR-PDL;Les Sables-d'Olonne
LFOP;medium_airport;Rouen Airport;EU;FR;FR-NOR;Rouen/Vallée de Seine
LFOQ;small_airport;Aérodrome de Blois-Le Breuil;EU;FR;FR-CVL;Blois/Le Breuil
LFOR;small_airport;Aérodrome de Chartres-Métropole;EU;FR;FR-CVL;Chartres / Champhol
LFOS;small_airport;Aérodrome de Saint-Valery-Vittefleur;EU;FR;FR-NOR;Blois
LFOT;medium_airport;Tours-Val-de-Loire Airport;EU;FR;FR-CVL;Tours/Val de Loire (Loire Valley)
LFOU;medium_airport;Cholet Le Pontreau Airport;EU;FR;FR-PDL;Cholet/Le Pontreau
LFOV;medium_airport;Laval-Entrammes Airport;EU;FR;FR-PDL;Laval/Entrammes
LFOW;small_airport;Aérodrome de Saint-Quentin - Roupy;EU;FR;FR-HDF;
LFOX;small_airport;Aérodrome d'Étampes-Mondésir;EU;FR;FR-IDF;Guillerval
LFOY;small_airport;Aérodrome du Havre - Saint-Romain;EU;FR;FR-NOR;Laval
LFOZ;small_airport;Orléans – Saint-Denis-de-l'Hôtel Airport;EU;FR;FR-CVL;Orléans
LFPA;small_airport;Aérodrome de Persan-Beaumont;EU;FR;FR-IDF;
LFPB;medium_airport;Paris-Le Bourget Airport;EU;FR;FR-IDF;Paris
LFPC;medium_airport;Creil Air Base;EU;FR;FR-HDF;Creil
LFPD;small_airport;Aérodrome de Bernay-Saint-Martin;EU;FR;FR-NOR;
LFPE;small_airport;Aérodrome de Meaux-Esbly;EU;FR;FR-IDF;
LFPF;small_airport;Aérodrome de Beynes - Thiverval;EU;FR;FR-IDF;Creil
LFPG;large_airport;Charles de Gaulle International Airport;EU;FR;FR-IDF;Paris
LFPH;small_airport;Aérodrome de Chelles-le-Pin;EU;FR;FR-IDF;Paris
LFPI;heliport;Paris Issy-les-Moulineaux Heliport;EU;FR;FR-IDF;Issy-les-Moulineaux
LFPK;small_airport;Aérodrome de Coulommiers - Voisins;EU;FR;FR-IDF;Coulommiers/Voisins
LFPL;small_airport;Lognes Emerainville;EU;FR;FR-IDF;Paris
LFPM;medium_airport;Melun-Villaroche Air Base;EU;FR;FR-IDF;Melun/Villaroche
LFPN;medium_airport;Toussus-le-Noble Airport;EU;FR;FR-IDF;Toussus-le-Noble
LFPO;large_airport;Paris-Orly Airport;EU;FR;FR-IDF;Paris
LFPP;small_airport;Le Plessis-Belleville Airfield;EU;FR;FR-HDF;Le Plessis-Belleville
LFPQ;small_airport;Aérodrome de Fontenay Trésigny;EU;FR;FR-IDF;Paris
LFPR;closed;Guyancourt Airport;EU;FR;FR-IDF;Guyancourt
LFPT;medium_airport;Aérodrome de Pontoise - Cormeilles en Vexin;EU;FR;FR-IDF;Cormeilles-en-Vexin
LFPU;small_airport;Moret Episy Airfield;EU;FR;FR-IDF;Pontoise
LFPV;medium_airport;Villacoublay-Vélizy (BA 107) Air Base;EU;FR;FR-IDF;Villacoublay/Vélizy
LFPX;small_airport;Chavenay Villepreux Airfield;EU;FR;FR-IDF;Villacoublay
LFPY;closed;Brétigny sur Orge Air Base;EU;FR;FR-IDF;Villacoublay
LFPZ;small_airport;Aérodrome de Saint-Cyr-l'École;EU;FR;FR-IDF;Villacoublay
LFQ;small_airport;Linfen Yaomiao Airport;AS;CN;CN-14;Linfen
LFQA;small_airport;Aérodrome de Reims Prunay;EU;FR;FR-GES;Reims/Prunay
LFQB;medium_airport;Troyes-Barberey Airport;EU;FR;FR-GES;Troyes/Barberey
LFQC;small_airport;Lunéville-Croismare Airfield;EU;FR;FR-GES;Lunéville/Croismare
LFQD;small_airport;Arras Roclincourt Airfield;EU;FR;FR-HDF;Saint-laurent-blangy
LFQE;medium_airport;Étain-Rouvres Air Base;EU;FR;FR-GES;Étain/Rouvres
LFQF;small_airport;Autun-Bellevue Airfield;EU;FR;FR-BFC;Autun/Bellevue
LFQG;medium_airport;Nevers-Fourchambault Airport;EU;FR;FR-BFC;Nevers/Fourchambault
LFQH;small_airport;Châtillon Sur Seine Airfield;EU;FR;FR-BFC;
LFQI;closed;Cambrai-Épinoy (BA 103) Air Base;EU;FR;FR-HDF;Cambrai/Épinoy
LFQJ;medium_airport;Maubeuge-Élesmes Airport;EU;FR;FR-HDF;Maubeuge/Élesmes
LFQK;small_airport;Aérodrome de Châlons - Écury-sur-Coole;EU;FR;FR-GES;
LFQL;small_airport;Lens Benifontaine Airfield;EU;FR;FR-HDF;
LFQM;small_airport;Aérodrome de Besançon-La Vèze;EU;FR;FR-BFC;Besançon/La Vèze
LFQN;small_airport;Saint Omer Wizernes Airfield;EU;FR;FR-HDF;Saint Omer
LFQO;small_airport;Lille/Marcq-en-Baroeul Airfield;EU;FR;FR-HDF;
LFQP;medium_airport;Phalsbourg-Bourscheid Air Base;EU;FR;FR-GES;Phalsbourg/Bourscheid
LFQQ;medium_airport;Lille-Lesquin Airport;EU;FR;FR-HDF;Lille/Lesquin
LFQR;closed;Romilly Sur Seine Airfield;EU;FR;FR-GES;
LFQS;small_airport;Vitry en Artois Airfield;EU;FR;FR-HDF;
LFQT;medium_airport;Merville-Calonne Airport;EU;FR;FR-HDF;Merville/Calonne
LFQU;small_airport;Sarre Union Airfield;EU;FR;FR-GES;
LFQV;medium_airport;Charleville-Mézières Ardennes-Etienne Riché Airport;EU;FR;FR-GES;Charleville-Mézières
LFQW;medium_airport;Aérodrome de Vesoul-Frotey;EU;FR;FR-BFC;Vesoul/Frotey
LFQX;small_airport;Aérodrome de Juvancourt;EU;FR;FR-GES;
LFQY;small_airport;Saverne Steinbourg Airfield;EU;FR;FR-GES;Saverne
LFQZ;small_airport;Dieuze Guéblange Airfield;EU;FR;FR-GES;
LFRA;closed;Aérodrome d'Angers Avrillé;EU;FR;FR-PDL;Angers
LFRB;medium_airport;Brest Bretagne Airport;EU;FR;FR-BRE;Brest/Guipavas
LFRC;medium_airport;Cherbourg-Maupertus Airport;EU;FR;FR-NOR;Cherbourg/Maupertus
LFRD;medium_airport;Dinard-Pleurtuit-Saint-Malo Airport;EU;FR;FR-BRE;Dinard/Pleurtuit/Saint-Malo
LFRE;medium_airport;La Baule-Escoublac Airport;EU;FR;FR-PDL;La Baule-Escoublac
LFRF;medium_airport;Granville Airport;EU;FR;FR-NOR;Granville
LFRG;medium_airport;Deauville-Saint-Gatien Airport;EU;FR;FR-NOR;Deauville
LFRH;medium_airport;Lorient South Brittany (Bretagne Sud) Airport;EU;FR;FR-BRE;Lorient/Lann/Bihoué
LFRI;medium_airport;La Roche-sur-Yon Airport;EU;FR;FR-PDL;La Roche-sur-Yon/Les Ajoncs
LFRJ;medium_airport;Landivisiau Air Base;EU;FR;FR-BRE;Landivisiau
LFRK;medium_airport;Caen-Carpiquet Airport;EU;FR;FR-NOR;Caen/Carpiquet
LFRL;medium_airport;Lanvéoc-Poulmic Air Base;EU;FR;FR-BRE;Lanvéoc/Poulmic
LFRM;medium_airport;Le Mans-Arnage Airport;EU;FR;FR-PDL;Le Mans/Arnage
LFRN;medium_airport;Rennes-Saint-Jacques Airport;EU;FR;FR-BRE;Rennes/Saint-Jacques
LFRO;medium_airport;Lannion-Côte de Granit Airport;EU;FR;FR-BRE;Lannion
LFRP;small_airport;Ploërmel Loyat Airfield;EU;FR;FR-BRE;Rennes
LFRQ;medium_airport;Quimper-Cornouaille Airport;EU;FR;FR-BRE;Quimper/Pluguffan
LFRS;medium_airport;Nantes Atlantique Airport;EU;FR;FR-PDL;Nantes
LFRT;medium_airport;Saint-Brieuc-Armor Airport;EU;FR;FR-BRE;Saint-Brieuc/Armor
LFRU;medium_airport;Morlaix-Ploujean Airport;EU;FR;FR-BRE;Morlaix/Ploujean
LFRV;medium_airport;Vannes-Meucon Airport;EU;FR;FR-BRE;Vannes/Meucon
LFRW;small_airport;Le Val St Père;EU;FR;FR-NOR;Avranches
LFRZ;medium_airport;Saint-Nazaire-Montoir Airport;EU;FR;FR-PDL;Saint-Nazaire/Montoir
LFSA;small_airport;Besançon–Thise Airfield;EU;FR;FR-BFC;
LFSB;large_airport;EuroAirport Basel-Mulhouse-Freiburg Airport;EU;FR;FR-GES;Bâle/Mulhouse
LFSC;closed;Colmar-Meyenheim Air Base;EU;FR;FR-GES;Colmar/Meyenheim
LFSD;medium_airport;Dijon-Bourgogne Airport;EU;FR;FR-BFC;Dijon/Longvic
LFSE;small_airport;Épinal Dogneville Airfield;EU;FR;FR-GES;
LFSF;closed;Metz-Frescaty (BA 128) Air Base;EU;FR;FR-GES;Metz/Frescaty
LFSG;medium_airport;Épinal-Mirecourt Airport;EU;FR;FR-GES;Épinal/Mirecourt
LFSH;small_airport;Haguenau Airfield;EU;FR;FR-GES;Haguenau
LFSI;medium_airport;Saint-Dizier-Robinson (BA 113) Air Base;EU;FR;FR-GES;Saint-Dizier/Robinson
LFSJ;small_airport;Sédan Douzy Airfield;EU;FR;FR-GES;
LFSK;small_airport;Vitry Le François Vauclerc Airfield;EU;FR;FR-GES;
LFSL;medium_airport;Brive-Souillac;EU;FR;FR-NAQ;Brive la Gaillarde
LFSM;medium_airport;Montbéliard-Courcelles Airfield;EU;FR;FR-BFC;Montbéliard/Courcelles
LFSN;medium_airport;Nancy-Essey Airport;EU;FR;FR-GES;Nancy/Essey
LFSO;medium_airport;Nancy-Ochey (BA 133) Air Base;EU;FR;FR-GES;Nancy/Ochey
LFSP;small_airport;Pontarlier Airfield;EU;FR;FR-BFC;Pontarlier
